frame,forcedBlank,brightness,bgMode,bg3Prio,TM,TS,cmEnabled,cmAddSub,cmHalve,cmSubtract,fixedColor,bg1_map,bg1_chr,bg1_hs,bg1_vs,bg2_map,bg2_chr,bg2_hs,bg2_vs,bg3_map,bg3_chr,bg3_hs,bg3_vs,w0l,w0r,w1l,w1r,wram10,wram0A,wram0E
6900,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,199,0
6960,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,3,0
7020,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,63,0
7080,1,15,1,1,7,0,0,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,123,1
7140,1,0,1,1,23,0,0,1,0,0,0,26624,0,191,231,28672,0,0,0,30720,24576,0,0,255,0,255,0,2,183,3
7200,1,0,1,1,23,0,0,0,0,0,0,26624,0,128,232,30720,0,0,232,24576,12288,0,826,255,0,255,0,2,243,0
7260,1,0,1,1,23,0,0,0,0,0,0,26624,0,148,232,30720,0,10,232,24576,12288,0,856,255,0,255,0,2,47,0
7320,1,0,1,1,23,0,0,0,0,0,0,26624,0,158,232,30720,0,15,232,24576,12288,0,885,255,0,255,0,2,107,0
7380,1,0,1,1,23,0,0,0,0,0,0,26624,0,150,232,30720,0,11,232,24576,12288,0,912,255,0,255,0,2,167,0
7440,1,0,1,1,23,0,0,0,0,0,0,26624,0,185,195,30720,0,28,214,24576,12288,0,942,255,0,255,0,2,227,0
7500,1,0,1,1,23,0,0,0,0,0,0,26624,0,185,231,30720,0,28,232,24576,12288,0,972,255,0,255,0,2,31,0
7560,1,0,1,1,23,0,0,0,0,0,0,26624,0,132,231,30720,0,2,232,24576,12288,0,1002,255,0,255,0,2,91,0
7620,1,0,1,1,23,0,0,0,0,0,0,26624,0,134,164,30720,0,3,198,24576,12288,0,8,255,0,255,0,2,151,0
7680,1,0,1,1,23,0,0,0,0,0,0,26624,0,149,231,30720,0,10,232,24576,12288,0,37,255,0,255,0,2,211,0
7740,1,0,1,1,23,0,0,0,0,0,0,26624,0,124,231,30720,0,1022,232,24576,12288,0,67,255,0,255,0,2,15,0
7800,1,0,1,1,23,0,0,0,0,0,0,26624,0,130,195,30720,0,1,214,24576,12288,0,97,255,0,255,0,2,75,0
7860,1,0,1,1,23,0,0,0,0,0,0,26624,0,110,231,30720,0,1015,232,24576,12288,0,127,255,0,255,0,2,135,0
7920,1,0,1,1,23,0,0,0,0,0,0,26624,0,111,231,30720,0,1015,232,24576,12288,0,156,255,0,255,0,2,195,0
7980,1,0,1,1,23,0,0,0,0,0,0,26624,0,81,216,30720,0,1000,224,24576,12288,0,184,255,0,255,0,2,255,0
8040,1,0,1,1,23,0,0,0,0,0,0,26624,0,91,180,30720,0,1005,206,24576,12288,0,214,255,0,255,0,2,59,0
8100,1,0,1,1,23,0,0,0,0,0,0,26624,0,94,142,30720,0,1007,187,24576,12288,0,224,255,0,255,0,0,119,1
8160,0,15,1,1,0,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,179,1
8220,0,15,1,1,2,0,63,1,0,0,0,26624,0,0,0,28672,0,122,0,30720,24576,235,0,255,0,255,0,0,239,0
8280,0,15,1,1,2,0,63,1,0,0,0,26624,0,0,0,28672,0,111,0,30720,24576,190,0,255,0,255,0,0,43,0
8340,0,15,1,1,2,0,63,1,0,0,0,26624,0,0,0,28672,0,100,0,30720,24576,145,0,255,0,255,0,0,103,0
8400,0,15,1,1,18,0,63,1,0,0,0,26624,0,0,0,28672,0,89,0,30720,24576,100,0,255,0,255,0,0,163,0
8460,0,15,1,1,18,0,63,1,0,0,0,26624,0,0,0,28672,0,77,0,30720,24576,55,0,255,0,255,0,0,223,0
8520,0,15,1,1,18,0,63,1,0,0,0,26624,0,0,0,28672,0,66,0,30720,24576,10,0,255,0,255,0,0,27,0
8580,0,15,1,1,18,0,63,1,0,0,0,26624,0,0,0,28672,0,55,0,30720,24576,989,0,255,0,255,0,0,87,0
8640,0,15,1,1,18,0,63,1,0,0,0,26624,0,0,0,28672,0,44,0,30720,24576,944,0,255,0,255,0,0,147,0
8700,0,15,1,1,18,0,63,1,0,0,0,26624,0,0,0,28672,0,32,0,30720,24576,899,0,255,0,255,0,0,207,0
8760,0,15,1,1,2,0,63,1,0,0,0,26624,0,0,0,28672,0,21,0,30720,24576,854,0,255,0,255,0,0,11,0
8820,0,15,1,1,2,0,63,1,0,0,0,26624,0,0,0,28672,0,10,0,30720,24576,809,0,255,0,255,0,0,71,0
8880,0,15,1,1,0,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,764,0,255,0,255,0,0,131,0
8940,0,15,1,1,0,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,719,0,255,0,255,0,0,191,0
